Product,Country,Conglomerate,Food Form,Preservation,Natural,Date,Year,Quarter,Sum of Total Weight (lbs),Sum of Sales Value USD
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),DRY,OTHER,NATURAL,6/1/2012,2012,2Q12,3917093,8428824
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),DRY,OTHER,NATURAL,7/1/2012,2012,3Q12,4613120,9864037
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),DRY,OTHER,NATURAL,8/1/2012,2012,3Q12,4081005,8952514
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),DRY,OTHER,NATURAL,9/1/2012,2012,3Q12,4044955,9030655
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),DRY,OTHER,NATURAL,10/1/2012,2012,4Q12,4969608,10579182
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),DRY,OTHER,NATURAL,11/1/2012,2012,4Q12,4463405,9706230
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),DRY,OTHER,NATURAL,12/1/2012,2012,4Q12,4600427,9939929
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),DRY,OTHER,NATURAL,1/1/2013,2013,1Q13,5071184,11493645
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),DRY,OTHER,NATURAL,2/1/2013,2013,1Q13,4623938,10369875
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),DRY,OTHER,NATURAL,3/1/2013,2013,1Q13,4815132,10760833
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),DRY,OTHER,NATURAL,4/1/2013,2013,2Q13,4421085,10408647
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),DRY,OTHER,NATURAL,5/1/2013,2013,2Q13,5157981,12220684
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),DRY,OTHER,NATURAL,6/1/2013,2013,2Q13,4766858,11059714
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),DRY,OTHER,NATURAL,7/1/2013,2013,3Q13,5506235,12903194
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),DRY,OTHER,NATURAL,8/1/2013,2013,3Q13,4961065,11368418
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),DRY,OTHER,NATURAL,9/1/2013,2013,3Q13,4859986,11231536
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),DRY,OTHER,NATURAL,10/1/2013,2013,4Q13,5458286,12682956
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),DRY,OTHER,NATURAL,11/1/2013,2013,4Q13,4900682,11331284
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),DRY,OTHER,NATURAL,12/1/2013,2013,4Q13,4991236,11410860
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),REFRIGERATED,OTHER,NATURAL,1/1/2011,2011,1Q11,416584,1434559
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),REFRIGERATED,OTHER,NATURAL,2/1/2011,2011,1Q11,355991,1214458
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),REFRIGERATED,OTHER,NATURAL,3/1/2011,2011,1Q11,357781,1287257
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),REFRIGERATED,OTHER,NATURAL,4/1/2011,2011,2Q11,357566,1291003
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),REFRIGERATED,OTHER,NATURAL,5/1/2011,2011,2Q11,417495,1515879
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),REFRIGERATED,OTHER,NATURAL,6/1/2011,2011,2Q11,359411,1299299
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),REFRIGERATED,OTHER,NATURAL,7/1/2011,2011,3Q11,446138,1608928
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),REFRIGERATED,OTHER,NATURAL,8/1/2011,2011,3Q11,370965,1343681
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),REFRIGERATED,OTHER,NATURAL,9/1/2011,2011,3Q11,365449,1338126
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),REFRIGERATED,OTHER,NATURAL,10/1/2011,2011,4Q11,429711,1583935
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),REFRIGERATED,OTHER,NATURAL,11/1/2011,2011,4Q11,371975,1354875
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),REFRIGERATED,OTHER,NATURAL,12/1/2011,2011,4Q11,445388,1551303
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),REFRIGERATED,OTHER,NATURAL,1/1/2012,2012,1Q12,425264,1556733
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),REFRIGERATED,OTHER,NATURAL,2/1/2012,2012,1Q12,363076,1326343
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),REFRIGERATED,OTHER,NATURAL,3/1/2012,2012,1Q12,371766,1367045
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),REFRIGERATED,OTHER,NATURAL,4/1/2012,2012,2Q12,379149,1385609
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),REFRIGERATED,OTHER,NATURAL,5/1/2012,2012,2Q12,409343,1502228
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),REFRIGERATED,OTHER,NATURAL,6/1/2012,2012,2Q12,355217,1321668
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),REFRIGERATED,OTHER,NATURAL,7/1/2012,2012,3Q12,400967,1476773
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),REFRIGERATED,OTHER,NATURAL,8/1/2012,2012,3Q12,358419,1326086
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),REFRIGERATED,OTHER,NATURAL,9/1/2012,2012,3Q12,346495,1305749
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),REFRIGERATED,OTHER,NATURAL,10/1/2012,2012,4Q12,409431,1505009
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),REFRIGERATED,OTHER,NATURAL,11/1/2012,2012,4Q12,348519,1294225
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),REFRIGERATED,OTHER,NATURAL,12/1/2012,2012,4Q12,368608,1395060
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),REFRIGERATED,OTHER,NATURAL,1/1/2013,2013,1Q13,401274,1543977
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),REFRIGERATED,OTHER,NATURAL,2/1/2013,2013,1Q13,370210,1381427
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),REFRIGERATED,OTHER,NATURAL,3/1/2013,2013,1Q13,381568,1416082
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),REFRIGERATED,OTHER,NATURAL,4/1/2013,2013,2Q13,372736,1383965
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),REFRIGERATED,OTHER,NATURAL,5/1/2013,2013,2Q13,412755,1522880
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),REFRIGERATED,OTHER,NATURAL,6/1/2013,2013,2Q13,351059,1300394
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),REFRIGERATED,OTHER,NATURAL,7/1/2013,2013,3Q13,413672,1527193
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),REFRIGERATED,OTHER,NATURAL,8/1/2013,2013,3Q13,367190,1309531
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),REFRIGERATED,OTHER,NATURAL,9/1/2013,2013,3Q13,362522,1254077
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),REFRIGERATED,OTHER,NATURAL,10/1/2013,2013,4Q13,396174,1477469
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),REFRIGERATED,OTHER,NATURAL,11/1/2013,2013,4Q13,364863,1358224
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),REFRIGERATED,OTHER,NATURAL,12/1/2013,2013,4Q13,391601,1464483
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),TREATS,DEHYDRATED,NATURAL,8/1/2012,2012,3Q12,101,2703
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),TREATS,DEHYDRATED,NATURAL,9/1/2012,2012,3Q12,2492,66373
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),TREATS,DEHYDRATED,NATURAL,10/1/2012,2012,4Q12,4358,112684
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),TREATS,DEHYDRATED,NATURAL,11/1/2012,2012,4Q12,3964,102370
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),TREATS,DEHYDRATED,NATURAL,12/1/2012,2012,4Q12,5508,139842
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),TREATS,DEHYDRATED,NATURAL,1/1/2013,2013,1Q13,8895,227736
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),TREATS,DEHYDRATED,NATURAL,2/1/2013,2013,1Q13,10265,241822
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),TREATS,DEHYDRATED,NATURAL,3/1/2013,2013,1Q13,11394,267208
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),TREATS,DEHYDRATED,NATURAL,4/1/2013,2013,2Q13,10264,233831
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),TREATS,DEHYDRATED,NATURAL,5/1/2013,2013,2Q13,10384,228095
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),TREATS,DEHYDRATED,NATURAL,6/1/2013,2013,2Q13,10051,200603
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),TREATS,DEHYDRATED,NATURAL,7/1/2013,2013,3Q13,14258,249472
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),TREATS,DEHYDRATED,NATURAL,8/1/2013,2013,3Q13,12452,209874
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),TREATS,DEHYDRATED,NATURAL,9/1/2013,2013,3Q13,9055,184129
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),TREATS,DEHYDRATED,NATURAL,10/1/2013,2013,4Q13,8752,184801
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),TREATS,DEHYDRATED,NATURAL,11/1/2013,2013,4Q13,6328,132743
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),TREATS,DEHYDRATED,NATURAL,12/1/2013,2013,4Q13,8573,169145
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),TREATS,OTHER,NATURAL,1/1/2011,2011,1Q11,146285,1299918
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),TREATS,OTHER,NATURAL,2/1/2011,2011,1Q11,137020,1205531
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),TREATS,OTHER,NATURAL,3/1/2011,2011,1Q11,137974,1221480
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),TREATS,OTHER,NATURAL,4/1/2011,2011,2Q11,159039,1325894
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),TREATS,OTHER,NATURAL,5/1/2011,2011,2Q11,163668,1404416
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),TREATS,OTHER,NATURAL,6/1/2011,2011,2Q11,140625,1243521
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),TREATS,OTHER,NATURAL,7/1/2011,2011,3Q11,198175,1551862
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),TREATS,OTHER,NATURAL,8/1/2011,2011,3Q11,132891,1189607
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),TREATS,OTHER,NATURAL,9/1/2011,2011,3Q11,136922,1208146
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),TREATS,OTHER,NATURAL,10/1/2011,2011,4Q11,174890,1526308
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),TREATS,OTHER,NATURAL,11/1/2011,2011,4Q11,146507,1278593
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),TREATS,OTHER,NATURAL,12/1/2011,2011,4Q11,197667,1695506
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),TREATS,OTHER,NATURAL,1/1/2012,2012,1Q12,185654,1624800
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),TREATS,OTHER,NATURAL,2/1/2012,2012,1Q12,161330,1385144
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),TREATS,OTHER,NATURAL,3/1/2012,2012,1Q12,152899,1330286
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),TREATS,OTHER,NATURAL,4/1/2012,2012,2Q12,158443,1345850
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),TREATS,OTHER,NATURAL,5/1/2012,2012,2Q12,170392,1478464
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),TREATS,OTHER,NATURAL,6/1/2012,2012,2Q12,148253,1287509
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),TREATS,OTHER,NATURAL,7/1/2012,2012,3Q12,184624,1542169
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),TREATS,OTHER,NATURAL,8/1/2012,2012,3Q12,151251,1289349
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),TREATS,OTHER,NATURAL,9/1/2012,2012,3Q12,158124,1347265
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),TREATS,OTHER,NATURAL,10/1/2012,2012,4Q12,173614,1490997
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),TREATS,OTHER,NATURAL,11/1/2012,2012,4Q12,158402,1346173
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),TREATS,OTHER,NATURAL,12/1/2012,2012,4Q12,174405,1519476
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),TREATS,OTHER,NATURAL,1/1/2013,2013,1Q13,180014,1596506
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),TREATS,OTHER,NATURAL,2/1/2013,2013,1Q13,183149,1527848
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),TREATS,OTHER,NATURAL,3/1/2013,2013,1Q13,154758,1352363
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),TREATS,OTHER,NATURAL,4/1/2013,2013,2Q13,160651,1380051
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),TREATS,OTHER,NATURAL,5/1/2013,2013,2Q13,172509,1517350
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),TREATS,OTHER,NATURAL,6/1/2013,2013,2Q13,158735,1415832
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),TREATS,OTHER,NATURAL,7/1/2013,2013,3Q13,188436,1603170
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),TREATS,OTHER,NATURAL,8/1/2013,2013,3Q13,151251,1320570
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),TREATS,OTHER,NATURAL,9/1/2013,2013,3Q13,150020,1301684
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),TREATS,OTHER,NATURAL,10/1/2013,2013,4Q13,181905,1554731
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),TREATS,OTHER,NATURAL,11/1/2013,2013,4Q13,159657,1361379
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),TREATS,OTHER,NATURAL,12/1/2013,2013,4Q13,184733,1577285
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),WET,OTHER,NATURAL,1/1/2011,2011,1Q11,9343529,18774135
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),WET,OTHER,NATURAL,2/1/2011,2011,1Q11,7580562,15606622
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),WET,OTHER,NATURAL,3/1/2011,2011,1Q11,7957798,15873066
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),WET,OTHER,NATURAL,4/1/2011,2011,2Q11,7934829,16107385
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),WET,OTHER,NATURAL,5/1/2011,2011,2Q11,8640275,17695672
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),WET,OTHER,NATURAL,6/1/2011,2011,2Q11,7947035,16457131
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),WET,OTHER,NATURAL,7/1/2011,2011,3Q11,8689690,18436926
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),WET,OTHER,NATURAL,8/1/2011,2011,3Q11,7653426,16530282
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),WET,OTHER,NATURAL,9/1/2011,2011,3Q11,7773552,16631643
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),WET,OTHER,NATURAL,10/1/2011,2011,4Q11,9030707,19244991
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),WET,OTHER,NATURAL,11/1/2011,2011,4Q11,8238900,17680301
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),WET,OTHER,NATURAL,12/1/2011,2011,4Q11,9049879,19655146
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),WET,OTHER,NATURAL,1/1/2012,2012,1Q12,9148531,19903002
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),WET,OTHER,NATURAL,2/1/2012,2012,1Q12,8175203,17620789
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),WET,OTHER,NATURAL,3/1/2012,2012,1Q12,7934195,17227158
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),WET,OTHER,NATURAL,4/1/2012,2012,2Q12,8079801,17448762
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),WET,OTHER,NATURAL,5/1/2012,2012,2Q12,8618186,18882590
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),WET,OTHER,NATURAL,6/1/2012,2012,2Q12,7996721,17422930
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),WET,OTHER,NATURAL,7/1/2012,2012,3Q12,8827685,19312594
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),WET,OTHER,NATURAL,8/1/2012,2012,3Q12,8000607,17982064
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),WET,OTHER,NATURAL,9/1/2012,2012,3Q12,8372477,18622249
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),WET,OTHER,NATURAL,10/1/2012,2012,4Q12,9296342,20313909
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),WET,OTHER,NATURAL,11/1/2012,2012,4Q12,8603220,18963542
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),WET,OTHER,NATURAL,12/1/2012,2012,4Q12,8898695,19501019
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),WET,OTHER,NATURAL,1/1/2013,2013,1Q13,9725126,21966966
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),WET,OTHER,NATURAL,2/1/2013,2013,1Q13,8595187,19368246
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),WET,OTHER,NATURAL,3/1/2013,2013,1Q13,8696619,19947616
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),WET,OTHER,NATURAL,4/1/2013,2013,2Q13,8939605,20274757
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),WET,OTHER,NATURAL,5/1/2013,2013,2Q13,9702988,22629063
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),WET,OTHER,NATURAL,6/1/2013,2013,2Q13,8529656,19857961
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),WET,OTHER,NATURAL,7/1/2013,2013,3Q13,9766840,22618939
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),WET,OTHER,NATURAL,8/1/2013,2013,3Q13,8728029,20296672
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),WET,OTHER,NATURAL,9/1/2013,2013,3Q13,8480813,19928105
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),WET,OTHER,NATURAL,10/1/2013,2013,4Q13,9804646,22617861
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),WET,OTHER,NATURAL,11/1/2013,2013,4Q13,8943989,20839937
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),WET,OTHER,NATURAL,12/1/2013,2013,4Q13,8875389,20594899
PETFOOD,United States of America,BLUEBUFFALO,DRY,OTHER,NATURAL,1/1/2011,2011,1Q11,14385526,26944771
PETFOOD,United States of America,BLUEBUFFALO,DRY,OTHER,NATURAL,2/1/2011,2011,1Q11,12599698,23680454
PETFOOD,United States of America,BLUEBUFFALO,DRY,OTHER,NATURAL,3/1/2011,2011,1Q11,12874430,24004565
PETFOOD,United States of America,BLUEBUFFALO,DRY,OTHER,NATURAL,4/1/2011,2011,2Q11,13168411,24415848
PETFOOD,United States of America,BLUEBUFFALO,DRY,OTHER,NATURAL,5/1/2011,2011,2Q11,16765256,30756444
PETFOOD,United States of America,BLUEBUFFALO,DRY,OTHER,NATURAL,6/1/2011,2011,2Q11,13877333,26194462
PETFOOD,United States of America,BLUEBUFFALO,DRY,OTHER,NATURAL,7/1/2011,2011,3Q11,17014903,32740075
PETFOOD,United States of America,BLUEBUFFALO,DRY,OTHER,NATURAL,8/1/2011,2011,3Q11,14081875,27577014
PETFOOD,United States of America,BLUEBUFFALO,DRY,OTHER,NATURAL,9/1/2011,2011,3Q11,15480866,29180158
PETFOOD,United States of America,BLUEBUFFALO,DRY,OTHER,NATURAL,10/1/2011,2011,4Q11,18727070,36630924
PETFOOD,United States of America,BLUEBUFFALO,DRY,OTHER,NATURAL,11/1/2011,2011,4Q11,16994759,32324374
PETFOOD,United States of America,BLUEBUFFALO,DRY,OTHER,NATURAL,12/1/2011,2011,4Q11,20509731,39469675
PETFOOD,United States of America,BLUEBUFFALO,DRY,OTHER,NATURAL,1/1/2012,2012,1Q12,21089618,42078090
PETFOOD,United States of America,BLUEBUFFALO,DRY,OTHER,NATURAL,2/1/2012,2012,1Q12,18540669,37221892
PETFOOD,United States of America,BLUEBUFFALO,DRY,OTHER,NATURAL,3/1/2012,2012,1Q12,18384325,37939079
PETFOOD,United States of America,BLUEBUFFALO,DRY,OTHER,NATURAL,4/1/2012,2012,2Q12,18804378,39400141
PETFOOD,United States of America,BLUEBUFFALO,DRY,OTHER,NATURAL,5/1/2012,2012,2Q12,23406150,48623123
PETFOOD,United States of America,BLUEBUFFALO,DRY,OTHER,NATURAL,6/1/2012,2012,2Q12,19516312,40547224
PETFOOD,United States of America,BLUEBUFFALO,DRY,OTHER,NATURAL,7/1/2012,2012,3Q12,22132976,47449867
PETFOOD,United States of America,BLUEBUFFALO,DRY,OTHER,NATURAL,8/1/2012,2012,3Q12,18774150,41346313
PETFOOD,United States of America,BLUEBUFFALO,DRY,OTHER,NATURAL,9/1/2012,2012,3Q12,19709313,42493937
PETFOOD,United States of America,BLUEBUFFALO,DRY,OTHER,NATURAL,10/1/2012,2012,4Q12,23963139,51016707
PETFOOD,United States of America,BLUEBUFFALO,DRY,OTHER,NATURAL,11/1/2012,2012,4Q12,21049089,45031608
PETFOOD,United States of America,BLUEBUFFALO,DRY,OTHER,NATURAL,12/1/2012,2012,4Q12,22188121,46512599
PETFOOD,United States of America,BLUEBUFFALO,DRY,OTHER,NATURAL,1/1/2013,2013,1Q13,25706996,56536780
PETFOOD,United States of America,BLUEBUFFALO,DRY,OTHER,NATURAL,2/1/2013,2013,1Q13,22458578,48690481
PETFOOD,United States of America,BLUEBUFFALO,DRY,OTHER,NATURAL,3/1/2013,2013,1Q13,22785811,49565230
PETFOOD,United States of America,BLUEBUFFALO,DRY,OTHER,NATURAL,4/1/2013,2013,2Q13,23249589,50536180
PETFOOD,United States of America,BLUEBUFFALO,DRY,OTHER,NATURAL,5/1/2013,2013,2Q13,27590778,61200542
PETFOOD,United States of America,BLUEBUFFALO,DRY,OTHER,NATURAL,6/1/2013,2013,2Q13,23223305,51639494
PETFOOD,United States of America,BLUEBUFFALO,DRY,OTHER,NATURAL,7/1/2013,2013,3Q13,27786431,62740071
PETFOOD,United States of America,BLUEBUFFALO,DRY,OTHER,NATURAL,8/1/2013,2013,3Q13,24376723,54764854
PETFOOD,United States of America,BLUEBUFFALO,DRY,OTHER,NATURAL,9/1/2013,2013,3Q13,24906228,55649317
PETFOOD,United States of America,BLUEBUFFALO,DRY,OTHER,NATURAL,10/1/2013,2013,4Q13,29698811,67983969
PETFOOD,United States of America,BLUEBUFFALO,DRY,OTHER,NATURAL,11/1/2013,2013,4Q13,26191275,59044445
PETFOOD,United States of America,BLUEBUFFALO,DRY,OTHER,NATURAL,12/1/2013,2013,4Q13,27249244,60149229
PETFOOD,United States of America,BLUEBUFFALO,TREATS,DEHYDRATED,NATURAL,1/1/2011,2011,1Q11,2132,96214
PETFOOD,United States of America,BLUEBUFFALO,TREATS,DEHYDRATED,NATURAL,2/1/2011,2011,1Q11,2070,94975
PETFOOD,United States of America,BLUEBUFFALO,TREATS,DEHYDRATED,NATURAL,3/1/2011,2011,1Q11,3223,126119
PETFOOD,United States of America,BLUEBUFFALO,TREATS,DEHYDRATED,NATURAL,4/1/2011,2011,2Q11,3196,132868
PETFOOD,United States of America,BLUEBUFFALO,TREATS,DEHYDRATED,NATURAL,5/1/2011,2011,2Q11,3136,145084
PETFOOD,United States of America,BLUEBUFFALO,TREATS,DEHYDRATED,NATURAL,6/1/2011,2011,2Q11,2763,132053
PETFOOD,United States of America,BLUEBUFFALO,TREATS,DEHYDRATED,NATURAL,7/1/2011,2011,3Q11,3647,174125
PETFOOD,United States of America,BLUEBUFFALO,TREATS,DEHYDRATED,NATURAL,8/1/2011,2011,3Q11,3125,148126
PETFOOD,United States of America,BLUEBUFFALO,TREATS,DEHYDRATED,NATURAL,9/1/2011,2011,3Q11,3319,156436
PETFOOD,United States of America,BLUEBUFFALO,TREATS,DEHYDRATED,NATURAL,10/1/2011,2011,4Q11,4563,205790
PETFOOD,United States of America,BLUEBUFFALO,TREATS,DEHYDRATED,NATURAL,11/1/2011,2011,4Q11,4386,184734
